Čas,Liga,Stav,Domácí,Hosté,Skóre,xG Dom,xG Hos,Střely D,Střely H,Sance D,Sance H
15:00,Premier League,Ended,Brighton & Hove Albion,Everton,1-1,1.44,1.20,11,7,2,2
15:00,Premier League,Ended,Leeds United,Arsenal,0-4,0.15,2.19,3,14,0,6
15:00,Premier League,Ended,Wolverhampton,Bournemouth,0-2,1.38,1.36,17,9,4,2
17:30,Premier League,Ended,Chelsea,West Ham United,3-2,2.70,1.12,14,11,4,2
20:00,Premier League,Ended,Liverpool,Newcastle United,4-1,2.28,0.36,17,8,7,0
14:00,Premier League,Not started,Aston Villa,Brentford,0-0,0,0,0,0,0,0
14:00,Premier League,Not started,Manchester United,Fulham,0-0,0,0,0,0,0,0
14:00,Premier League,Not started,Nottingham Forest,Crystal Palace,0-0,0,0,0,0,0,0
16:30,Premier League,Not started,Tottenham Hotspur,Manchester City,0-0,0,0,0,0,0,0
14:00,Serie A,Ended,Pisa,Sassuolo,1-3,1.06,2.26,15,21,3,3
17:00,Serie A,Ended,Napoli,Fiorentina,2-1,1.73,1.23,19,15,2,4
19:45,Serie A,Ended,Cagliari,Hellas Verona,4-0,1.74,0.46,13,9,4,0
11:30,Serie A,Not started,Torino,Lecce,0-0,0,0,0,0,0,0
14:00,Serie A,Postponed,Bologna,Milan,0-0,0,0,0,0,0,0
14:00,Serie A,Not started,Como,Atalanta,0-0,0,0,0,0,0,0
17:00,Serie A,Not started,Cremonese,Inter,0-0,0,0,0,0,0,0
19:45,Serie A,Not started,Parma,Juventus,0-0,0,0,0,0,0,0
13:00,LaLiga,Ended,Real Oviedo,Girona FC,1-0,1.40,0.65,8,9,1,2
15:15,LaLiga,Ended,Osasuna,Villarreal,2-2,1.37,0.92,15,5,4,1
17:30,LaLiga,Ended,Levante UD,Atlético Madrid,0-0,0.37,0.86,10,10,0,0
20:00,LaLiga,Ended,Elche,Barcelona,1-3,1.00,6.44,9,30,1,13
13:00,LaLiga,Not started,Real Madrid,Rayo Vallecano,0-0,0,0,0,0,0,0
15:15,LaLiga,Not started,Real Betis,Valencia,0-0,0,0,0,0,0,0
17:30,LaLiga,Not started,Getafe,Celta Vigo,0-0,0,0,0,0,0,0
20:00,LaLiga,Not started,Athletic Club,Real Sociedad,0-0,0,0,0,0,0,0
14:30,Bundesliga,Ended,Eintracht Frankfurt,Bayer 04 Leverkusen,1-3,1.10,1.15,11,11,3,3
14:30,Bundesliga,Ended,FC Augsburg,FC St. Pauli,2-1,1.13,2.46,12,17,5,5
14:30,Bundesliga,Ended,RB Leipzig,1. FSV Mainz 05,1-2,1.74,2.33,15,11,3,4
14:30,Bundesliga,Ended,SV Werder Bremen,Borussia M'gladbach,1-1,1.24,0.89,18,7,0,2
14:30,Bundesliga,Ended,TSG Hoffenheim,1. FC Union Berlin,3-1,1.37,1.84,9,16,2,2
17:30,Bundesliga,Ended,Hamburger SV,FC Bayern München,2-2,2.25,2.41,14,13,5,5
14:30,Bundesliga,Not started,VfB Stuttgart,SC Freiburg,0-0,0,0,0,0,0,0
16:30,Bundesliga,Not started,Borussia Dortmund,1. FC Heidenheim,0-0,0,0,0,0,0,0
16:00,Ligue 1,Ended,Paris FC,Olympique de Marseille,2-2,1.53,2.63,9,18,3,3
18:00,Ligue 1,Ended,Lorient,Nantes,2-1,0.52,1.42,5,10,1,2
20:05,Ligue 1,Ended,AS Monaco,Stade Rennais,4-0,2.21,0.38,14,8,4,1
14:00,Ligue 1,Not started,Olympique Lyonnais,Lille,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Angers,Metz,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Nice,Stade Brestois,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Toulouse,Auxerre,0-0,0,0,0,0,0,0
19:45,Ligue 1,Not started,RC Strasbourg,Paris Saint-Germain,0-0,0,0,0,0,0,0
15:30,Liga Portugal Betclic,Ended,Santa Clara,Estoril Praia,2-4,2.20,2.32,14,11,4,3
18:00,Liga Portugal Betclic,Ended,Rio Ave,FC Arouca,0-3,0.69,1.47,8,18,0,3
20:30,Liga Portugal Betclic,Ended,FC Alverca,CF Estrela Amadora,1-1,0.89,0.88,8,5,2,1
15:30,Liga Portugal Betclic,Not started,Gil Vicente,Famalicão,0-0,0,0,0,0,0,0
18:00,Liga Portugal Betclic,Not started,Sporting CP,CD Nacional,0-0,0,0,0,0,0,0
20:30,Liga Portugal Betclic,Not started,Tondela,Benfica,0-0,0,0,0,0,0,0
15:30,VriendenLoterij Eredivisie,Ended,AZ Alkmaar,NEC Nijmegen,1-3,1.39,1.36,11,19,3,2
17:45,VriendenLoterij Eredivisie,Ended,PEC Zwolle,SC Telstar,4-1,2.85,1.75,16,14,6,4
20:00,VriendenLoterij Eredivisie,Ended,Sparta Rotterdam,FC Groningen,2-0,1.19,0.28,8,8,3,0
11:15,VriendenLoterij Eredivisie,Not started,Excelsior,AFC Ajax,0-0,0,0,0,0,0,0
13:30,VriendenLoterij Eredivisie,Not started,Heracles Almelo,Fortuna Sittard,0-0,0,0,0,0,0,0
13:30,VriendenLoterij Eredivisie,Not started,PSV Eindhoven,Feyenoord,0-0,0,0,0,0,0,0
15:45,VriendenLoterij Eredivisie,Not started,SC Heerenveen,FC Utrecht,0-0,0,0,0,0,0,0
19:00,VriendenLoterij Eredivisie,Not started,FC Volendam,Go Ahead Eagles,0-0,0,0,0,0,0,0
11:30,Trendyol Süper Lig,Ended,Alanyaspor,Eyüpspor,1-3,1.54,1.13,17,13,4,2
14:00,Trendyol Süper Lig,Ended,Başakşehir FK,Çaykur Rizespor,2-2,1.36,0.47,10,13,1,0
17:00,Trendyol Süper Lig,Ended,Beşiktaş JK,Konyaspor,2-1,2.00,1.01,22,9,1,3
17:00,Trendyol Süper Lig,Ended,Göztepe,Fatih Karagümrük,2-1,0.85,1.14,19,8,0,3
14:00,Trendyol Süper Lig,Not started,Gençlerbirliği,Gaziantep FK,0-0,0,0,0,0,0,0
17:00,Trendyol Süper Lig,Not started,Galatasaray,Kayserispor,0-0,0,0,0,0,0,0
15:00,Pro League,Ended,Cercle Brugge,Royal Antwerp FC,0-4,0.08,3.97,3,15,0,4
17:15,Pro League,Ended,SV Zulte Waregem,KVC Westerlo,0-1,1.23,1.66,19,7,2,2
19:45,Pro League,Ended,Sint-Truidense VV,RC Sporting Charleroi,0-2,1.14,0.82,13,15,1,1
12:30,Pro League,Not started,Standard Liège,RSC Anderlecht,0-0,0,0,0,0,0,0
15:00,Pro League,Not started,FCV Dender,KRC Genk,0-0,0,0,0,0,0,0
17:30,Pro League,Not started,Royale Union Saint-Gilloise,Club Brugge KV,0-0,0,0,0,0,0,0
18:15,Pro League,Not started,Oud-Heverlee Leuven,KV Mechelen,0-0,0,0,0,0,0,0
15:00,Stoiximan Super League,Ended,GFS Panetolikos,Aris Thessaloniki,0-1,0,0,1,22,0,7
16:00,Stoiximan Super League,Ended,APS Atromitos Athinon,OFI Crete,1-2,0,0,15,6,1,3
18:00,Stoiximan Super League,Ended,NPS Volos,AEL Novibet,0-2,0,0,12,18,1,7
14:00,Stoiximan Super League,Not started,APO Levadiakos,Asteras Aktor,0-0,0,0,0,0,0,0
15:30,Stoiximan Super League,Not started,Panathinaikos FC,AE Kifisia,0-0,0,0,0,0,0,0
17:30,Stoiximan Super League,Not started,PAOK,MGS Panserraikos,0-0,0,0,0,0,0,0
19:00,Stoiximan Super League,Not started,AEK Athens,Olympiacos FC,0-0,0,0,0,0,0,0
15:00,Scottish Premiership,Ended,Kilmarnock,Aberdeen,3-0,3.64,1.79,19,8,3,3
15:00,Scottish Premiership,Ended,Livingston,Motherwell,0-2,0.20,1.46,4,14,2,4
15:00,Scottish Premiership,Ended,St. Mirren,Dundee FC,0-0,0.47,0.94,10,11,1,1
20:00,Scottish Premiership,Ended,Dundee United,Heart of Midlothian,0-3,0.16,4.17,3,22,1,10
14:00,Scottish Premiership,Not started,Hibernian,Rangers,0-0,0,0,0,0,0,0
15:00,Scottish Premiership,Not started,Celtic,Falkirk FC,0-0,0,0,0,0,0,0
22:00,"Liga MX, Clausura",Ended,Club América,Club Necaxa,2-0,1.76,0.19,15,6,4,0
23:00,"Liga MX, Clausura",Ended,Atlas FC,Mazatlán FC,1-0,0,0,16,10,3,0
23:00,"Liga MX, Clausura",Ended,Atlético San Luis,CD Guadalajara,2-3,0,0,8,14,2,3
01:00,"Liga MX, Clausura",Ended,CF Monterrey,Club Tijuana,2-2,0,0,21,16,1,3
01:10,"Liga MX, Clausura",Ended,Club León,Tigres UANL,1-2,0,0,14,16,3,2
23:00,"Liga MX, Clausura",Not started,Querétaro FC,CF Pachuca,0-0,0,0,0,0,0,0
14:00,HNL,Ended,HNK Gorica,HNK Hajduk Split,1-0,0.74,1.98,6,21,2,2
16:45,HNL,Ended,NK Slaven Belupo,NK Varaždin,0-2,2.67,2.01,25,8,1,3
14:00,HNL,Not started,NK Osijek,HNK Rijeka,0-0,0,0,0,0,0,0
12:00,Mozzart Bet Superliga,Ended,FK Napredak Kruševac,FK Javor Ivanjica,1-2,0.52,1.67,7,13,1,2
12:00,Mozzart Bet Superliga,Ended,FK Radnički 1923,FK IMT Beograd,3-1,0.98,0.54,8,9,2,1
14:00,Mozzart Bet Superliga,Ended,FK Partizan,FK Radnički Niš,0-0,1.84,0.41,24,5,1,0
16:00,Mozzart Bet Superliga,Ended,FK Železničar Pančevo,FK Radnik Surdulica,1-0,0.87,0.96,8,8,1,1
12:00,Mozzart Bet Superliga,Not started,FK Mladost Lučani,OFK Beograd Mozzart,0-0,0,0,0,0,0,0
13:30,Mozzart Bet Superliga,Not started,FK Novi Pazar,FK Spartak Subotica,0-0,0,0,0,0,0,0
14:00,Mozzart Bet Superliga,Not started,FK Čukarički,FK Crvena zvezda,0-0,0,0,0,0,0,0
14:00,Mozzart Bet Superliga,Not started,FK TSC Bačka Topola,FK Vojvodina,0-0,0,0,0,0,0,0
16:00,"CAF Champions League, Group A",Not started,Pyramids FC,RS Berkane,0-0,0,0,0,0,0,0
16:00,"CAF Champions League, Group A",Not started,Rivers United,Power Dynamos,0-0,0,0,0,0,0,0
13:00,"CAF Champions League, Group B",Ended,Young Africans Sport Club,Al Ahly FC,1-1,0,0,11,4,2,1
19:00,"CAF Champions League, Group B",Ended,AS FAR Rabat,JS Kabylie,1-0,0,0,15,6,1,0
19:00,"CAF Champions League, Group C",Not started,MC Alger,FC Saint-Éloi Lupopo,0-0,0,0,0,0,0,0
16:00,"CAF Champions League, Group D",Ended,Atlético Petróleos de Luanda,Stade Malien,0-0,0,0,12,4,2,0
13:00,"CAF Champions League, Group D",Not started,Simba SC,Espérance Tunis,0-0,0,0,0,0,0,0
12:30,Championship,Ended,Leicester City,Charlton Athletic,0-2,1.92,1.40,21,9,1,2
12:30,Championship,Ended,Sheffield Wednesday,Wrexham,0-1,0.45,1.76,5,12,1,2
12:30,Championship,Ended,Stoke City,Southampton,0-2,0.87,1.90,10,11,1,2
15:00,Championship,Ended,Blackburn Rovers,Hull City,0-1,0.50,1.54,9,12,1,3
15:00,Championship,Ended,Ipswich Town,Preston North End,1-1,2.79,1.19,16,11,6,2
15:00,Championship,Ended,Middlesbrough,Norwich City,1-0,0.50,0.53,9,8,1,1
15:00,Championship,Ended,Millwall,Sheffield United,1-1,1.44,1.22,14,12,2,3
15:00,Championship,Ended,Oxford United,Birmingham City,0-2,0.47,1.14,10,11,1,2
15:00,Championship,Ended,Portsmouth,West Bromwich Albion,3-0,2.57,0.09,20,4,2,0
15:00,Championship,Ended,Queens Park Rangers,Coventry City,2-1,1.13,0.59,15,9,2,1
15:00,Championship,Ended,Watford,Swansea City,0-2,0.91,2.64,17,14,1,2
15:15,LaLiga 2,Ended,Albacete Balompié,Real Zaragoza,2-0,1.11,0.95,10,8,3,1
15:15,LaLiga 2,Ended,Burgos Club de Fútbol,Leganés,2-1,0,0,8,11,1,0
17:30,LaLiga 2,Ended,Cultural Leonesa,Deportivo La Coruña,0-1,0,0,13,16,0,4
20:00,LaLiga 2,Ended,Córdoba,Real Valladolid,3-1,0,0,19,9,2,2
13:00,LaLiga 2,Not started,Almería,AD Ceuta,0-0,0,0,0,0,0,0
15:15,LaLiga 2,Not started,Eibar,Sporting Gijón,0-0,0,0,0,0,0,0
17:30,LaLiga 2,Not started,CD Castellón,FC Andorra,0-0,0,0,0,0,0,0
17:30,LaLiga 2,Not started,Huesca,Cádiz,0-0,0,0,0,0,0,0
20:00,LaLiga 2,Not started,Granada,Real Racing Club,0-0,0,0,0,0,0,0
12:00,2. Bundesliga,Ended,Eintracht Braunschweig,Karlsruher SC,1-0,1.10,0.69,14,9,2,1
12:00,2. Bundesliga,Ended,Holstein Kiel,SpVgg Greuther Fürth,1-2,0.72,1.24,13,5,2,2
12:00,2. Bundesliga,Ended,VfL Bochum 1848,FC Schalke 04,2-0,0.90,0.70,10,12,2,0
19:30,2. Bundesliga,Ended,1. FC Kaiserslautern,SV 07 Elversberg,1-3,0.42,2.98,5,18,1,5
12:30,2. Bundesliga,Not started,Fortuna Düsseldorf,SC Paderborn 07,0-0,0,0,0,0,0,0
